,steps,reward
424,117,-4.1342573552147
425,136,-100.7049773790668
426,97,-221.9358932608959
427,110,-253.7222405804707
428,62,-65.93095054356345
429,102,-248.1318037166171
430,70,-101.00829406248718
431,90,-132.7544290896211
432,77,-108.20200598192301
433,117,-92.01155437709151
434,108,-133.52324367586473
435,104,-111.08766355079693
436,123,-100.85343817610806
437,98,-68.90333823999575
438,108,-188.5908803012813
439,97,-139.82475069889756
440,132,-298.1966621403751
441,186,-174.19052057463244
442,77,-94.58703555001844
443,95,-136.86235028157037
444,66,-59.27237335901637
445,65,-87.9461402101671
446,112,-170.8556794399193
447,92,-115.27119659398852
448,81,-110.90428853704756
449,145,-209.03868463450303
450,67,-58.794342034565794
451,72,-82.57106913705415
452,92,-134.72939733604719
453,82,-116.8652380971095
454,145,-147.16100243833083
455,68,-104.76558389841844
456,96,-89.19382765398537
457,120,-194.1694481816052
458,75,-202.18411457692667
459,123,-119.08865895984513
460,83,-109.29352991655337
461,61,-68.31944754398477
462,127,-177.60859267638102
463,114,-150.60258646490743
464,112,-106.71383804165065
465,92,-70.5568377114721
466,115,-117.93262775771555
467,104,-178.14776641638207
468,93,-88.14571223568153
469,91,-111.82828870680072
470,178,-138.768858084258
471,92,-106.98953193748937
472,83,-142.27778767715517
473,99,-118.75060020084496
474,144,-213.96559722463454
475,99,-121.98509527368174
476,123,-131.65170938424254
477,149,-182.53097920718832
478,100,-263.43270496818997
479,81,-134.76249678468966
480,112,-125.48582051393561
481,127,-190.59009794086103
482,70,-62.34720698908015
483,99,-120.072846046062
484,139,-53.68464269675022
485,89,-113.07495572597165
486,72,-96.89327509928984
487,90,-290.84252858790876
488,72,-65.7372813691216
489,85,-109.0516811074784
490,139,-113.93959933130208
491,107,-166.18637590617024
492,117,-101.37329223078467
493,72,-92.415171012904
494,119,-143.51668987096204
495,96,-98.8938389672138
496,102,-122.22666930636842
497,77,-71.1404468999679
498,66,-62.44930953093332
499,151,-150.14127847558626
500,81,-105.07257447015868
501,67,-48.26882827361274
502,119,-163.60533887453897
503,95,-140.8068299302549
504,111,-124.8978158017415
505,83,-160.8945256928788
506,69,-109.12862678144566
507,136,-230.03711021190375
508,144,-176.242413747746
509,61,-65.36830666637714
510,69,-65.22265501253733
511,148,-103.1833730523281
512,104,-100.30729704955641
513,87,-194.89957523034207
514,97,-179.9808402911059
515,72,-81.67208144863135
516,69,-72.21609820329735
517,124,-163.79984614096958
518,104,-144.41352479482765
519,83,-105.14459064444863
520,91,-94.10094264622192
521,95,-63.083197203345065
522,123,-139.77326243976205
523,76,-108.89073759831736
524,67,-46.384132770371174
525,71,-49.37447227164423
526,117,-102.11280072427036
527,121,-93.24795434625496
528,82,-116.84294636533185
529,91,-135.04661992251755
530,63,-68.5349269348279
531,100,-216.91470034950257
532,76,-118.94587065623296
533,95,-145.2762587788207
534,93,-100.48855715942084
535,151,-379.4460817287403
536,70,-83.77813710553671
537,96,-25.484871427526556
538,102,-85.17436339777733
539,74,-114.4369662786524
540,115,-200.94290917809371
541,72,-96.80987630044058
542,73,-94.65081067008767
543,78,-77.70082024679179
544,122,-114.1157446556297
545,80,-105.90697746838374
546,106,-177.9848817384197
547,118,-234.8395546698758
548,106,-11.425542254857845
549,79,-38.950074885892576
550,134,-160.33808213403938
551,98,-378.74173078985353
552,73,-90.55121836252677
553,90,-101.24026092492191
554,77,-101.32881486043621
555,120,-71.85019175709057
556,124,-104.08609242143822
557,87,-110.00530592428466
558,128,-151.69412852739472
559,60,-61.499793837029486
560,82,-96.49273683430944
561,110,-249.5650450547485
562,79,-102.33329445447887
563,102,-75.16484704783979
564,83,-95.06620678790266
565,88,-124.38495510756111
566,115,-116.80705457451273
567,141,-61.97792331730007
568,131,-158.26995711097692
569,94,-125.66008460063118
570,136,-182.5164468313588
571,103,-182.2523298496002
572,122,-281.533685102404
573,147,-181.56482155930365
574,64,-90.6491699125599
575,124,-93.48461510836336
576,123,-161.0666988119554
577,86,-82.42748668752967
578,103,-125.76371608717679
579,87,-127.4522840799682
580,134,-100.79044790545174
581,65,-82.0575936738796
582,122,-159.6020046328099
583,126,-190.9010754090251
584,101,-113.28531630900909
585,60,-79.5419113122834
586,104,-136.60727520060286
587,119,-80.90804369175461
588,114,-88.70712821014394
589,82,34.709372765963565
590,116,-120.73849584759009
591,89,-100.12492440156933
592,124,-86.55021577631938
593,142,-159.3995228427774
594,125,-228.2532200901839
595,84,-79.82424579516174
596,138,-227.47226943487323
597,93,-119.24086833156589
598,106,-98.31882264532564
599,69,-35.92231053426487
600,66,-60.75712782384237
601,92,-70.28285466174745
602,115,-87.92658949077703
603,115,-116.56078287648315
604,128,-162.32149244917747
605,127,-111.60643181810372
606,80,-61.72571402341897
607,68,-107.33309578265317
608,160,-186.93277337666183
609,118,-12.218619549443034
610,99,-157.93827562943324
611,114,-137.30430228882744
612,97,-152.12565003365825
613,102,-79.47900259795429
614,114,-77.63582755557094
615,85,-65.14389949902329
616,96,-75.98497823482153
617,71,-69.0776623139754
618,101,-124.44681011848886
619,82,-57.501586741476686
620,75,-111.01003419444338
621,89,-146.66597660876738
622,153,-315.76516247708184
623,93,-89.29438870330968
624,93,-106.61925732771498
625,72,-84.47133530594934
626,77,-43.65710158675742
627,109,-145.74004878236624
628,89,-184.52186622019644
629,101,-117.81355918060004
